year,bucket,n_articles
2024,text_transcriptomics,785
2025,MeSH_GWAS,5599
2025,text_AI_genomics,321
2025,text_GWAS_core,8123
2025,text_HLA,283
2025,text_MR,3769
2025,text_PRS,678
2025,text_biobank,1247
2025,text_colocalization,627
2025,text_epigenomics,433
2025,text_exome,133
2025,text_family_based,79
2025,text_finemapping,392
2025,text_functional_annotation,222
2025,text_gene_prioritization,420
2025,text_genetic_correlation,1820
2025,text_heritability,552
2025,text_longitudinal,371
2025,text_meta_analysis,758
2025,text_metabolomics,247
2025,text_mitochondrial,38
2025,text_noncoding,489
2025,text_pathway_analysis,303
2025,text_proteomics,422
2025,text_sex_chromosome,36
2025,text_single_cell,466
2025,text_spatial_transcriptomics,33
2025,text_structural_variant,115
2025,text_transcriptomics,1309
2026,MeSH_GWAS,452
2026,text_AI_genomics,32
2026,text_GWAS_core,755
2026,text_HLA,26
2026,text_MR,311
2026,text_PRS,61
2026,text_biobank,107
2026,text_colocalization,79
2026,text_epigenomics,53
2026,text_exome,10
2026,text_family_based,13
2026,text_finemapping,51
2026,text_functional_annotation,14
2026,text_gene_prioritization,48
2026,text_genetic_correlation,149
2026,text_heritability,58
2026,text_longitudinal,32
2026,text_meta_analysis,62
2026,text_metabolomics,31
2026,text_mitochondrial,2
2026,text_noncoding,55
2026,text_pathway_analysis,32
2026,text_proteomics,55
2026,text_sex_chromosome,2
2026,text_single_cell,51
2026,text_spatial_transcriptomics,8
2026,text_structural_variant,16
2026,text_transcriptomics,141
